"Vibrio_strain","Tank_temperature","Vibrio_species","Dose_CFU_per_ml","host_species","Time_to_infection","Datasheet","Infected","Date","Location","Growth_temperature","LD50_dose","Percent_infected"
"OCN008",23,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",3,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",23,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",5,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",23,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",8,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",23,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",8,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",23,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",3,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",3,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",4,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"3/30/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",4,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",2,4,1,"2/28/2012","K?ne‘ohe Bay",NA,100000000,0.833333333333333
"OCN008",27,"Vibrio_coralliilyticus",100000000,"Montipora_capitata",1,5,1,"Feb-12","K?ne‘ohe Bay",NA,100000000,0.833333333333333
